Bookmaker,Sport,Player Props,Pre-match odds,Live odds,Markets
AlphaWin,Baseball,No,Yes,No,"ML, Spread, Totals"
AlphaWin,Basketball,No,Yes,Yes,"ML, Spread, Totals"
AlphaWin,Esports,No,Yes,Yes,"ML, Spread, Totals"
AlphaWin,Football,No,Yes,No,ML
AlphaWin,Handball,No,Yes,No,"ML, Spread"
AlphaWin,Ice Hockey,No,Yes,No,"ML, Spread, Totals"
AlphaWin,Rugby Union,No,Yes,No,"ML, Spread"
AlphaWin,Tennis,No,Yes,Yes,"ML, Spread, Totals"
AlphaWin,Volleyball,No,Yes,No,"ML, Totals"
Apostamax,American Football,No,Yes,No,"ML, Spread, Totals"
Apostamax,Baseball,No,Yes,Yes,"ML, Spread, Totals"
Apostamax,Basketball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
Apostamax,Darts,No,Yes,No,"ML, Spread, Totals"
Apostamax,Esports,No,Yes,Yes,"ML, Spread, Totals"
Apostamax,Football,No,Yes,Yes,"ML, Spread, Totals, Draw No Bet, Team Total Home, Team Total Away, Corners Spread, Corners Totals, Bookings Spread, Bookings Totals, Both Teams To Score, Corners Totals Away, Corners Totals Home, Double Chance, European Handicap"
Apostamax,Handball,No,Yes,Yes,"Spread, Totals, Team Total Home, Team Total Away, 3-Way Result"
Apostamax,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
Apostamax,Tennis,No,Yes,Yes,"ML, Spread, Totals, Spread (Games), Totals (Games)"
Apostamax,Volleyball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
Apostatudo,American Football,No,Yes,No,"ML, Spread, Totals"
Apostatudo,Baseball,No,Yes,Yes,"ML, Spread, Totals"
Apostatudo,Basketball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
Apostatudo,Darts,No,Yes,No,"ML, Spread, Totals"
Apostatudo,Esports,No,Yes,Yes,"ML, Spread, Totals"
Apostatudo,Football,No,Yes,Yes,"ML, Spread, Totals, Draw No Bet, Team Total Home, Team Total Away, Corners Spread, Corners Totals, Bookings Spread, Bookings Totals, Both Teams To Score, Corners Totals Away, Corners Totals Home, Double Chance, European Handicap"
Apostatudo,Handball,No,Yes,Yes,"Spread, Totals, Team Total Home, Team Total Away, 3-Way Result"
Apostatudo,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
Apostatudo,Tennis,No,Yes,Yes,"ML, Spread, Totals, Spread (Games), Totals (Games)"
Apostatudo,Volleyball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
B2xbet,American Football,No,Yes,No,"ML, Spread, Totals"
B2xbet,Baseball,No,Yes,Yes,"ML, Spread, Totals"
B2xbet,Basketball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
B2xbet,Darts,No,Yes,No,"ML, Spread, Totals"
B2xbet,Esports,No,Yes,Yes,"ML, Spread, Totals"
B2xbet,Football,No,Yes,Yes,"ML, Spread, Totals, Draw No Bet, Team Total Home, Team Total Away, Corners Spread, Corners Totals, Bookings Spread, Bookings Totals, Both Teams To Score, Corners Totals Away, Corners Totals Home, Double Chance, European Handicap"
B2xbet,Handball,No,Yes,Yes,"Spread, Totals, Team Total Home, Team Total Away, 3-Way Result"
B2xbet,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
B2xbet,Tennis,No,Yes,Yes,"ML, Spread, Totals, Spread (Games), Totals (Games)"
B2xbet,Volleyball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
BC.Game,American Football,No,Yes,Yes,"ML, Spread, Totals, Spread HT, Totals HT, Spread 1Q, Totals 1Q, ML HT, Totals 2Q, Totals 3Q, Totals 4Q"
BC.Game,Baseball,No,Yes,Yes,"Spread, Totals"
BC.Game,Basketball,No,Yes,Yes,"ML, Spread, Totals, Totals HT, Totals 1Q, Team Total Home, Team Total Away, ML 1Q, ML 2Q, ML 3Q, ML HT, Totals 2Q, Totals 3Q, Totals 4Q"
BC.Game,Cricket,No,Yes,No,ML
BC.Game,Esports,No,Yes,Yes,"ML, Spread, Totals"
BC.Game,Football,No,Yes,Yes,"ML, Spread, Totals, Draw No Bet, Totals HT, Team Total Home, Team Total Away, Corners Spread, Corners Totals, Bookings Totals, Both Teams To Score, Both Teams To Score HT, BTTS, DNB, European Handicap, Half Time / Full Time, ML HT"
BC.Game,Handball,No,Yes,Yes,"ML, Spread, Totals"
BC.Game,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
BC.Game,MMA,No,Yes,No,"ML, Totals"
BC.Game,Rugby,No,Yes,Yes,"ML, Spread, Totals"
BC.Game,Rugby Union,No,Yes,No,"ML, Spread, Totals, Draw No Bet, DNB"
BC.Game,Tennis,No,Yes,Yes,"ML, Spread, Totals, First Set Winner, ML 2nd Set, Spread (Games), Totals (Games), Totals 1st Set (Games)"
BC.Game,Volleyball,No,Yes,Yes,"ML, Spread, Totals, First Set Winner, ML 2nd Set"
BRX,American Football,No,Yes,No,"ML, Spread, Totals"
BRX,Baseball,No,Yes,Yes,"ML, Spread, Totals"
BRX,Basketball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
BRX,Darts,No,Yes,No,"ML, Spread, Totals"
BRX,Esports,No,Yes,Yes,"ML, Spread, Totals"
